,start,end,from_cty,to_cty,from_country,from_country_code,to_country,to_country_code,value,source,target,color,label,from_country_latlng,to_country_latlng,from_country_cca3,to_country_cca3
11442,09:00,10:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11443,09:00,10:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,140.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11444,10:00,11:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11445,10:00,11:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,140.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11446,11:00,12:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11447,11:00,12:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,141.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11448,12:00,13:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11449,12:00,13:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,142.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11450,13:00,14:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11451,13:00,14:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,143.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11452,14:00,15:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11453,14:00,15:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,143.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11454,15:00,16:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
